ID_Transaksi,ID_Pengguna,ID_Produk,Waktu_Transaksi,Jumlah_Transaksi,Metode_Pembayaran,Alamat_Pengiriman,Kategori_Produk,Penilaian_Produk,Total_Harga
T00190,U2076,P229,2024-02-29,5,Dana,"Gang M.H Thamrin No. 01, Meulaboh, Jawa Barat 38380",Elektronik,4,22503165
T00191,U5831,P564,2024-07-13,9,Cash on Delivery (COD),"Gang Ahmad Yani No. 5, Kota Administrasi Jakarta Timur, KB 59304",Kesehatan,1,42074415
T00192,U4522,P540,2024-03-09,8,Kartu Debit,"Jl. Dipenogoro No. 348, Tual, KI 52239",Fashion,3,3077296
T00193,U8430,P508,2024-06-18,7,Transfer Bank,"Jalan Ahmad Yani No. 784, Pasuruan, BT 03930",Elektronik,4,7455392
T00194,U6120,P781,2024-09-07,5,QRIS,"Jalan Gegerkalong Hilir No. 25, Banda Aceh, JT 18515",Peralatan Rumah,4,3065775
T00195,U2494,P951,2024-11-15,2,Transfer Bank,"Gang Raya Ujungberung No. 267, Cirebon, NT 92644",Fashion,1,6351976
T00196,U3131,P669,2024-04-05,1,Dana,"Jalan K.H. Wahid Hasyim No. 5, Subulussalam, Gorontalo 25135",Makanan,3,1075350
T00197,U7730,P462,2024-06-19,7,E-Wallet,"Gang Antapani Lama No. 33, Malang, Kepulauan Bangka Belitung 00676",Elektronik,5,6129116
T00198,U6119,P460,2024-04-20,2,Dana,"Gang R.E Martadinata No. 17, Cilegon, ST 04054",Peralatan Rumah,2,9262578
T00199,U8900,P329,2024-03-27,2,QRIS,"Gg. Jamika No. 1, Makassar, Sulawesi Utara 62962",Makanan,3,3444716
T00200,U2882,P880,2024-03-07,5,Kartu Debit,"Jl. Tubagus Ismail No. 8, Surabaya, Lampung 31069",Fashion,5,13846090
T00201,U1430,P723,2024-09-16,5,E-Wallet,"Gg. Abdul Muis No. 14, Dumai, GO 32417",Peralatan Rumah,3,13209755
T00202,U6567,P459,2025-01-08,1,Kartu Kredit,"Gang Rajiman No. 4, Sukabumi, Papua Barat 56527",Peralatan Rumah,5,3412022
T00203,U2140,P245,2024-03-04,1,Transfer Bank,"Gang Merdeka No. 90, Tomohon, GO 58693",Makanan,2,3205747
T00204,U7878,P564,2024-09-17,6,Kartu Kredit,"Gang Joyoboyo No. 741, Tasikmalaya, Banten 17223",Elektronik,3,28049610
T00205,U6314,P895,2024-12-25,10,Transfer Bank,"Gg. Ciwastra No. 6, Sorong, Jawa Tengah 51168",Kesehatan,2,13704490
T00206,U1815,P790,2024-07-19,2,Virtual Account,"Jalan Wonoayu No. 8, Binjai, SR 29991",Fashion,4,8248050
T00207,U8242,P524,2025-02-09,5,Kartu Debit,"Gang Tubagus Ismail No. 67, Bandung, Kalimantan Barat 62996",Makanan,1,14727595
T00208,U8043,P213,2024-03-02,5,Kredivo,"Jl. Waringin No. 50, Langsa, MA 71324",Makanan,3,2154940
T00209,U4612,P504,2024-11-30,10,E-Wallet,"Gang Rungkut Industri No. 1, Palembang, KT 78508",Kesehatan,2,25784880
T00210,U4460,P885,2024-12-19,3,Virtual Account,"Gang HOS. Cokroaminoto No. 9, Cirebon, Kalimantan Selatan 03070",Elektronik,3,3169503
T00211,U1126,P609,2025-02-06,7,Kartu Kredit,"Gang Rawamangun No. 6, Tangerang Selatan, BA 57972",Peralatan Rumah,4,31623368
T00212,U4770,P612,2025-01-19,9,QRIS,"Gg. Kendalsari No. 769, Tasikmalaya, Papua Barat 63201",Kesehatan,4,3643713
T00213,U8147,P119,2024-08-18,8,Transfer Bank,"Gg. Dipatiukur No. 06, Cilegon, KT 33468",Elektronik,5,4287288
T00214,U8033,P687,2024-02-23,7,Cash on Delivery (COD),"Jl. Kutisari Selatan No. 349, Tasikmalaya, Kepulauan Riau 65743",Elektronik,1,24133599
T00215,U1341,P432,2024-08-15,3,Kredivo,"Jl. Monginsidi No. 5, Langsa, GO 15454",Elektronik,1,10988586
T00216,U8155,P964,2024-05-27,2,Kartu Debit,"Jl. Cikutra Barat No. 6, Tangerang Selatan, JB 74466",Fashion,5,6818432
T00217,U9584,P180,2024-07-15,7,Virtual Account,"Jalan Jayawijaya No. 7, Pekalongan, Maluku 82417",Elektronik,2,29573145
T00218,U6456,P897,2024-04-05,3,Transfer Bank,"Jalan Merdeka No. 34, Magelang, PA 94717",Makanan,1,13503105
T00219,U9355,P298,2024-03-07,6,QRIS,"Jl. Sukabumi No. 4, Banjarbaru, Jawa Tengah 35697",Peralatan Rumah,2,5474316
T00220,U3399,P362,2024-04-11,4,Kartu Kredit,"Gg. Rumah Sakit No. 2, Subulussalam, BE 74329",Makanan,2,2728436
T00221,U3902,P891,2024-12-08,8,Kredivo,"Jl. Kendalsari No. 66, Pariaman, Papua Barat 08350",Makanan,5,30525520
T00222,U6295,P984,2025-01-27,6,Kartu Kredit,"Jl. Medokan Ayu No. 3, Tanjungbalai, NT 21689",Fashion,1,25855272
T00223,U8682,P552,2024-06-13,5,Virtual Account,"Gg. PHH. Mustofa No. 89, Palangkaraya, Jawa Barat 75326",Makanan,1,15011525
T00224,U9312,P175,2024-02-23,5,Kredivo,"Jl. Asia Afrika No. 8, Bitung, Papua 64890",Fashion,1,2636140
T00225,U7041,P951,2024-10-03,5,Transfer Bank,"Jl. Gardujati No. 76, Purwokerto, Kepulauan Bangka Belitung 23046",Kesehatan,5,15879940
T00226,U9307,P493,2024-10-29,8,Dana,"Gg. Dr. Djunjunan No. 9, Kotamobagu, Jambi 73934",Kesehatan,4,38781080
T00227,U4084,P429,2025-01-03,10,Kredivo,"Gang Jamika No. 873, Magelang, Kalimantan Utara 01197",Makanan,2,5690340
T00228,U8381,P205,2024-04-13,6,Transfer Bank,"Gg. H.J Maemunah No. 744, Banjarbaru, Gorontalo 04556",Makanan,2,2270082
T00229,U5059,P824,2024-11-28,8,Kredivo,"Jl. HOS. Cokroaminoto No. 2, Manado, Sulawesi Tengah 15521",Makanan,5,11053272
T00230,U6962,P481,2024-07-20,5,Cash on Delivery (COD),"Gang Ronggowarsito No. 21, Tanjungpinang, BE 16979",Fashion,3,2446365
T00231,U6482,P167,2024-11-05,6,Transfer Bank,"Gang Kendalsari No. 277, Padang Sidempuan, ST 14508",Makanan,4,14601582
T00232,U5128,P841,2024-12-10,10,Kartu Kredit,"Gg. Kapten Muslihat No. 3, Malang, Papua Barat 89002",Elektronik,1,49383730
T00233,U3317,P458,2024-08-30,5,Cash on Delivery (COD),"Jl. Rajiman No. 35, Banjarbaru, SS 86631",Peralatan Rumah,5,3803370
T00234,U6072,P672,2024-08-12,7,QRIS,"Gg. Cihampelas No. 17, Bima, RI 08801",Peralatan Rumah,5,5837580
T00235,U7937,P620,2024-12-19,6,E-Wallet,"Gang Siliwangi No. 375, Tasikmalaya, PA 11305",Elektronik,3,9372924
T00236,U4509,P449,2024-07-02,8,Kartu Debit,"Jl. Jend. A. Yani No. 26, Kota Administrasi Jakarta Pusat, KS 16373",Peralatan Rumah,2,10798192
T00237,U2264,P402,2024-11-20,2,Dana,"Jalan KH Amin Jasuta No. 9, Yogyakarta, ST 98270",Makanan,5,2317272
T00238,U1618,P777,2024-09-08,6,Kartu Kredit,"Jalan Indragiri No. 216, Pekalongan, Papua Barat 93465",Makanan,4,8063790
T00239,U3658,P285,2024-06-09,10,Kartu Kredit,"Gg. Rungkut Industri No. 8, Tanjungpinang, MU 33945",Fashion,1,34965310
T00240,U6968,P792,2025-02-07,4,Kredivo,"Jalan Setiabudhi No. 7, Tangerang, Lampung 08106",Makanan,3,15263520
T00241,U4833,P646,2024-04-12,4,Virtual Account,"Gg. Jamika No. 42, Tanjungbalai, Lampung 80571",Fashion,2,9257944
T00242,U7026,P794,2024-10-12,10,Kredivo,"Gg. Otto Iskandardinata No. 666, Purwokerto, Bengkulu 43973",Fashion,3,32533780
T00243,U9239,P640,2025-02-03,7,Kartu Kredit,"Gg. Cihampelas No. 122, Metro, BT 48422",Peralatan Rumah,5,12161639
T00244,U3267,P993,2024-09-29,5,E-Wallet,"Gang Jakarta No. 259, Sorong, MA 98515",Fashion,3,19556515
T00245,U2680,P828,2024-09-07,9,Transfer Bank,"Jl. Veteran No. 8, Bekasi, Nusa Tenggara Timur 35554",Elektronik,1,12553173
T00246,U5469,P560,2024-05-10,9,Kartu Kredit,"Gg. Cihampelas No. 993, Tangerang Selatan, MU 16484",Fashion,1,37035846
T00247,U4637,P936,2024-02-25,8,QRIS,"Jalan PHH. Mustofa No. 3, Pekanbaru, JK 28801",Kesehatan,4,3974008
T00248,U7495,P614,2024-05-07,6,Kartu Debit,"Jl. Jayawijaya No. 6, Tidore Kepulauan, Jawa Tengah 75011",Fashion,1,5318652
T00249,U7142,P329,2024-03-08,1,QRIS,"Jl. Pasirkoja No. 67, Palangkaraya, Maluku Utara 61809",Kesehatan,3,1722358
T00250,U3392,P240,2024-03-11,1,Virtual Account,"Jalan PHH. Mustofa No. 4, Kotamobagu, Sulawesi Tengah 60728",Fashion,2,3985180
T00251,U8349,P730,2024-05-11,1,Transfer Bank,"Jalan Rajawali Barat No. 5, Purwokerto, Jawa Tengah 00996",Kesehatan,3,1859043
T00252,U3449,P661,2024-09-11,10,Dana,"Gg. Lembong No. 82, Denpasar, Kalimantan Timur 31290",Fashion,1,36561630
T00253,U5720,P343,2025-01-11,5,Transfer Bank,"Jalan Pasir Koja No. 397, Manado, JB 14913",Kesehatan,2,17858755
T00254,U8489,P164,2024-06-18,2,Kredivo,"Gang Indragiri No. 995, Pagaralam, JI 53364",Makanan,5,375738
T00255,U9443,P688,2025-01-07,4,Kartu Kredit,"Gang Rawamangun No. 54, Purwokerto, GO 91428",Elektronik,4,9410032
T00256,U1025,P729,2024-05-02,6,Kartu Debit,"Jl. S. Parman No. 0, Yogyakarta, KT 84887",Makanan,4,9727812
T00257,U2402,P636,2024-10-26,6,Transfer Bank,"Jalan Kutai No. 4, Pangkalpinang, Sumatera Selatan 65803",Makanan,5,25834638
T00258,U9316,P667,2025-01-10,1,Cash on Delivery (COD),"Jalan Jend. Sudirman No. 9, Ternate, Sulawesi Utara 03731",Fashion,1,3295395
T00259,U7116,P359,2024-05-28,1,QRIS,"Jl. M.T Haryono No. 67, Banjar, BT 18449",Kesehatan,3,2072710
T00260,U2698,P890,2024-09-14,10,QRIS,"Gang Kutai No. 1, Metro, Kalimantan Timur 55779",Peralatan Rumah,1,30052980
T00261,U9945,P446,2024-02-18,3,Kredivo,"Jl. Ciumbuleuit No. 4, Bukittinggi, Kalimantan Barat 59136",Fashion,2,3543675
T00262,U2033,P833,2024-12-27,8,E-Wallet,"Gang Ronggowarsito No. 926, Kota Administrasi Jakarta Barat, BT 99228",Elektronik,2,3339784
T00263,U4268,P142,2024-03-02,6,Virtual Account,"Gg. K.H. Wahid Hasyim No. 6, Tebingtinggi, Lampung 37977",Makanan,4,27631626
T00264,U8756,P359,2024-04-22,1,Kartu Debit,"Jl. Wonoayu No. 8, Cimahi, Nusa Tenggara Barat 99136",Elektronik,3,2072710
T00265,U1783,P986,2024-07-14,6,Virtual Account,"Jl. M.T Haryono No. 6, Sibolga, Gorontalo 79908",Kesehatan,3,17670654
T00266,U8159,P509,2024-08-29,8,Cash on Delivery (COD),"Jalan Rungkut Industri No. 0, Pematangsiantar, Sulawesi Barat 08637",Elektronik,2,33699632
T00267,U9151,P476,2024-12-18,9,Virtual Account,"Gg. HOS. Cokroaminoto No. 73, Kotamobagu, SR 30098",Kesehatan,4,6408783
T00268,U8055,P716,2024-04-01,3,Dana,"Gg. Tubagus Ismail No. 12, Sungai Penuh, Kepulauan Bangka Belitung 86959",Elektronik,3,2731959
T00269,U2311,P435,2024-06-02,5,Virtual Account,"Gang Jend. Sudirman No. 88, Kota Administrasi Jakarta Pusat, MA 62137",Fashion,5,18122600
T00270,U3730,P806,2024-12-16,8,QRIS,"Gg. Sadang Serang No. 9, Cilegon, Papua Barat 12796",Fashion,1,24059848
T00271,U8126,P381,2024-03-21,1,Transfer Bank,"Gg. Ciwastra No. 0, Padang, Sumatera Utara 90277",Fashion,3,2329311
T00272,U9406,P920,2024-02-20,3,E-Wallet,"Jl. Kutisari Selatan No. 8, Singkawang, Jawa Timur 53021",Peralatan Rumah,5,8135064
T00273,U8179,P135,2024-06-02,3,Transfer Bank,"Gang Kutai No. 801, Purwokerto, LA 54393",Peralatan Rumah,3,9263817
T00274,U7272,P680,2024-08-10,1,Kartu Kredit,"Jalan Tubagus Ismail No. 1, Pekalongan, LA 18489",Fashion,3,3170674
T00275,U8273,P881,2024-05-23,2,Kartu Kredit,"Jalan Sadang Serang No. 79, Pariaman, JA 16335",Makanan,3,6777902
T00276,U6150,P765,2024-07-25,5,Kartu Debit,"Jalan Peta No. 651, Parepare, MU 39423",Kesehatan,1,8053420
T00277,U9176,P630,2024-08-27,7,Dana,"Gg. Laswi No. 339, Bukittinggi, Gorontalo 17908",Kesehatan,3,15634276
T00278,U8311,P319,2024-03-03,10,Virtual Account,"Gang Joyoboyo No. 72, Mojokerto, KI 08678",Fashion,2,40150510
T00279,U3009,P238,2024-02-28,2,Kredivo,"Gg. Gedebage Selatan No. 8, Lubuklinggau, AC 36915",Peralatan Rumah,4,1572884
T00280,U6236,P783,2024-07-05,6,Transfer Bank,"Jalan Pasteur No. 95, Denpasar, SB 36556",Makanan,5,14914410
T00281,U5914,P971,2024-06-03,3,Kartu Kredit,"Jl. Dipenogoro No. 4, Sabang, SN 32270",Elektronik,5,5793225
T00282,U2988,P305,2024-04-24,3,Kartu Debit,"Gg. Rajiman No. 48, Mojokerto, GO 03471",Fashion,1,9232257
T00283,U7044,P578,2024-08-08,9,Kartu Kredit,"Gang Stasiun Wonokromo No. 4, Banda Aceh, SR 59399",Makanan,1,5413815
T00284,U6067,P507,2024-10-25,8,Dana,"Gang Tebet Barat Dalam No. 7, Bau-Bau, Papua Barat 72256",Fashion,4,38980920
T00285,U2208,P228,2024-10-18,6,Transfer Bank,"Jl. Sadang Serang No. 554, Sibolga, RI 75987",Fashion,4,10726566
T00286,U9476,P452,2024-07-25,3,Dana,"Jl. Moch. Toha No. 4, Gorontalo, Jawa Timur 11178",Makanan,2,3397218
T00287,U8088,P614,2024-03-07,1,Transfer Bank,"Jl. Pasirkoja No. 2, Sungai Penuh, Papua Barat 33472",Makanan,2,886442
T00288,U5982,P268,2024-04-06,3,QRIS,"Jalan Laswi No. 9, Bekasi, Sumatera Selatan 07286",Peralatan Rumah,3,13208490
T00289,U5653,P966,2024-09-07,2,Virtual Account,"Gg. Raya Ujungberung No. 78, Purwokerto, Sulawesi Tengah 82997",Peralatan Rumah,5,4704524
T00290,U3050,P740,2024-10-18,5,Dana,"Gang R.E Martadinata No. 174, Padang Sidempuan, BB 40082",Kesehatan,5,23285940
T00291,U3762,P706,2024-06-28,10,Kartu Kredit,"Gg. Ronggowarsito No. 06, Serang, KI 85368",Peralatan Rumah,5,28821580
T00292,U1674,P945,2024-08-03,1,Transfer Bank,"Gg. Sukabumi No. 416, Pematangsiantar, KR 84631",Kesehatan,5,2270094
T00293,U4453,P885,2024-04-26,10,Cash on Delivery (COD),"Gg. Wonoayu No. 49, Depok, Maluku Utara 20802",Makanan,1,10565010
T00294,U9159,P742,2024-03-26,9,Virtual Account,"Gg. Antapani Lama No. 120, Jambi, NB 47570",Elektronik,4,29498958
T00295,U5012,P924,2024-06-23,7,Virtual Account,"Gg. Suniaraja No. 872, Kota Administrasi Jakarta Pusat, Papua Barat 13673",Fashion,1,3868102
T00296,U3589,P550,2024-11-28,7,Kredivo,"Jalan M.T Haryono No. 3, Meulaboh, Maluku 20881",Fashion,2,20326194
T00297,U3353,P420,2024-05-24,6,QRIS,"Gg. Cikapayang No. 3, Kendari, SN 02491",Fashion,2,18949896
T00298,U9437,P675,2024-07-18,2,QRIS,"Gg. Kutisari Selatan No. 513, Payakumbuh, DKI Jakarta 00528",Peralatan Rumah,4,2155576
T00299,U5382,P560,2024-12-19,4,Kartu Kredit,"Jalan Raya Setiabudhi No. 5, Tegal, Kalimantan Selatan 65240",Kesehatan,1,16460376
T00300,U5754,P493,2024-08-22,10,Cash on Delivery (COD),"Jalan Ahmad Yani No. 855, Kota Administrasi Jakarta Utara, JI 82744",Peralatan Rumah,2,48476350
T00301,U6364,P691,2024-09-13,6,Kartu Debit,"Gg. K.H. Wahid Hasyim No. 959, Madiun, YO 38782",Peralatan Rumah,4,14865372
T00302,U9433,P578,2024-10-11,8,Virtual Account,"Gang Gardujati No. 810, Cirebon, BT 17310",Fashion,1,4812280
T00303,U2475,P502,2024-09-24,9,Kredivo,"Jalan Siliwangi No. 910, Sungai Penuh, SB 70586",Peralatan Rumah,2,44491005
T00304,U6781,P149,2024-12-31,1,Virtual Account,"Jalan Ciumbuleuit No. 13, Bengkulu, KI 33839",Fashion,5,3997568
T00305,U5681,P649,2024-10-15,1,Transfer Bank,"Gg. Tebet Barat Dalam No. 61, Denpasar, Riau 28975",Fashion,2,2509357
T00306,U5333,P844,2025-01-31,6,Cash on Delivery (COD),"Gang KH Amin Jasuta No. 59, Salatiga, KT 84577",Elektronik,1,20461932
T00307,U1838,P683,2024-07-19,9,Kartu Debit,"Jalan M.T Haryono No. 404, Jambi, Maluku Utara 48889",Elektronik,5,22238694
T00308,U2204,P495,2025-02-09,9,Kredivo,"Gg. Setiabudhi No. 245, Kediri, Kepulauan Bangka Belitung 19693",Makanan,3,9419931
T00309,U3108,P199,2024-11-27,7,QRIS,"Jalan Rajiman No. 9, Serang, Maluku 96105",Elektronik,5,2901416
T00310,U6990,P873,2024-06-30,3,Kartu Debit,"Jl. Suryakencana No. 0, Banjarbaru, MA 58925",Makanan,5,10251234
T00311,U9193,P141,2024-08-29,1,E-Wallet,"Gg. Cihampelas No. 9, Jayapura, Sulawesi Selatan 62251",Peralatan Rumah,3,4024053
T00312,U9508,P567,2024-08-18,3,Dana,"Jalan Surapati No. 6, Tual, Jawa Barat 83769",Peralatan Rumah,3,2033112
T00313,U6218,P266,2024-05-02,7,Virtual Account,"Gg. Bangka Raya No. 91, Surakarta, Sulawesi Barat 55355",Makanan,3,4542769
T00314,U9311,P948,2024-10-03,9,Dana,"Gg. Kendalsari No. 92, Banjar, Kalimantan Timur 52110",Fashion,5,23083425
T00315,U8780,P935,2024-05-20,1,QRIS,"Gg. Gardujati No. 77, Magelang, Kalimantan Tengah 38848",Elektronik,1,3544193
T00316,U6040,P915,2024-08-21,1,Kredivo,"Jalan Pasir Koja No. 043, Banjarbaru, Sulawesi Tenggara 16451",Elektronik,5,4895548
T00317,U4728,P838,2024-02-23,1,Kredivo,"Gg. Monginsidi No. 1, Pasuruan, JK 38780",Peralatan Rumah,5,1603149
T00318,U7229,P251,2024-03-02,4,E-Wallet,"Gang Suniaraja No. 2, Malang, Nusa Tenggara Timur 43840",Makanan,1,6101776
T00319,U4125,P119,2024-10-16,8,QRIS,"Gg. Merdeka No. 562, Tegal, PB 63926",Fashion,2,4287288
T00320,U7765,P807,2024-06-16,4,Cash on Delivery (COD),"Jl. Suryakencana No. 983, Lhokseumawe, SU 62925",Makanan,5,3322352
T00321,U8726,P993,2024-03-13,1,Kartu Kredit,"Jalan Astana Anyar No. 66, Palembang, Kepulauan Riau 31220",Makanan,2,3911303
T00322,U6325,P778,2024-12-08,8,Dana,"Jl. Astana Anyar No. 17, Pekalongan, SU 26772",Fashion,3,6309592
T00323,U3837,P570,2024-04-19,9,QRIS,"Gg. Antapani Lama No. 63, Tomohon, Kalimantan Tengah 27975",Makanan,3,20408670
T00324,U8932,P296,2025-01-17,4,Virtual Account,"Gang Cihampelas No. 6, Mojokerto, SU 81770",Makanan,3,7745284
T00325,U5876,P889,2025-01-21,5,Kartu Debit,"Gg. M.T Haryono No. 0, Kupang, Sulawesi Tengah 44726",Fashion,3,20374410
T00326,U6714,P673,2024-06-09,5,Virtual Account,"Gang Dipatiukur No. 8, Denpasar, Jawa Barat 65702",Kesehatan,5,23033075
T00327,U7220,P504,2024-08-10,6,Kartu Kredit,"Gg. Raya Ujungberung No. 2, Bekasi, Jambi 51868",Elektronik,1,15470928
T00328,U5712,P831,2024-10-10,2,QRIS,"Jalan Jend. A. Yani No. 92, Bontang, Kalimantan Barat 64474",Fashion,3,8137616
T00329,U4505,P306,2024-10-16,9,Virtual Account,"Jl. Abdul Muis No. 4, Palu, Sumatera Barat 80973",Makanan,3,10813761
T00330,U2789,P730,2024-05-10,10,Kartu Debit,"Gang Ciwastra No. 9, Kota Administrasi Jakarta Barat, KR 02205",Peralatan Rumah,1,18590430
T00331,U9700,P331,2024-03-01,4,E-Wallet,"Gang Dipatiukur No. 162, Tangerang, Lampung 79501",Kesehatan,4,11282812
T00332,U8739,P202,2024-12-10,3,E-Wallet,"Gang Cikutra Timur No. 81, Parepare, JB 45868",Makanan,2,10390161
T00333,U8793,P588,2024-05-07,4,Virtual Account,"Jl. Ronggowarsito No. 9, Pagaralam, Maluku Utara 89952",Elektronik,3,2185164
T00334,U2465,P767,2024-10-11,10,Kartu Debit,"Jalan Kendalsari No. 430, Bandar Lampung, SG 39660",Makanan,1,15185490
T00335,U7846,P957,2024-06-24,3,E-Wallet,"Jl. Peta No. 14, Pekalongan, MU 15569",Fashion,4,4838685
T00336,U5742,P997,2024-10-12,1,E-Wallet,"Gg. Sadang Serang No. 7, Bandung, Jawa Barat 27857",Elektronik,5,1430298
T00337,U2758,P443,2024-12-16,5,Kredivo,"Gang Stasiun Wonokromo No. 0, Samarinda, NB 12405",Makanan,5,20966185
T00338,U3198,P971,2024-07-10,9,Kredivo,"Jl. Rajawali Timur No. 5, Kota Administrasi Jakarta Timur, Sulawesi Barat 73574",Elektronik,2,17379675
T00339,U2845,P438,2024-05-09,3,Kredivo,"Gg. BKR No. 178, Pariaman, SS 35784",Elektronik,2,504438
T00340,U6523,P909,2024-12-13,5,Kartu Debit,"Jl. Laswi No. 0, Meulaboh, SU 04091",Peralatan Rumah,5,17257495
T00341,U8007,P627,2024-06-24,6,Transfer Bank,"Gg. Asia Afrika No. 4, Madiun, KS 44857",Fashion,1,9600342
T00342,U3303,P588,2024-11-02,6,Kartu Debit,"Jl. Pelajar Pejuang No. 098, Gorontalo, Nusa Tenggara Timur 42493",Kesehatan,3,3277746
T00343,U7284,P341,2024-04-22,8,Virtual Account,"Gang Cikapayang No. 070, Meulaboh, Bengkulu 66299",Elektronik,3,39488272
T00344,U1187,P367,2024-10-17,6,Kartu Debit,"Gang Kiaracondong No. 8, Tomohon, SG 17174",Kesehatan,1,23724096
T00345,U6026,P263,2024-11-07,7,Dana,"Jl. Ir. H. Djuanda No. 4, Mojokerto, KB 57701",Elektronik,1,17674678
T00346,U7021,P729,2024-08-18,4,Kartu Debit,"Gang Jend. A. Yani No. 59, Pekanbaru, Gorontalo 15814",Peralatan Rumah,4,6485208
T00347,U3509,P565,2024-09-09,10,QRIS,"Jalan Wonoayu No. 827, Batam, NB 96695",Fashion,5,39995920
T00348,U9806,P921,2024-09-14,4,Kartu Debit,"Gg. Gardujati No. 9, Madiun, Gorontalo 24619",Makanan,1,17833076
T00349,U8319,P640,2024-03-29,6,Transfer Bank,"Jalan Dipatiukur No. 290, Surabaya, JT 84699",Makanan,1,10424262
T00350,U2011,P948,2024-08-07,9,Dana,"Gang Ahmad Yani No. 4, Tasikmalaya, Nusa Tenggara Timur 90986",Peralatan Rumah,5,23083425
T00351,U9792,P253,2025-01-10,3,QRIS,"Gg. M.H Thamrin No. 085, Kotamobagu, Bali 69656",Makanan,4,3075273
T00352,U4365,P834,2024-07-22,10,Kredivo,"Jl. Waringin No. 386, Padangpanjang, JT 22010",Kesehatan,5,37869790
T00353,U1911,P564,2024-04-11,3,Dana,"Jl. HOS. Cokroaminoto No. 6, Tanjungpinang, SN 78687",Fashion,4,14024805
T00354,U1945,P672,2024-07-14,8,Virtual Account,"Gg. Rungkut Industri No. 973, Padang Sidempuan, PA 09751",Kesehatan,4,6671520
T00355,U5169,P936,2024-09-28,1,Kartu Debit,"Gg. Rawamangun No. 1, Kota Administrasi Jakarta Barat, SU 89490",Makanan,1,496751
T00356,U1742,P533,2025-01-31,6,Transfer Bank,"Gang Monginsidi No. 95, Manado, LA 20949",Makanan,1,3773844
T00357,U8734,P132,2024-05-27,5,Cash on Delivery (COD),"Jl. Kapten Muslihat No. 90, Pasuruan, DKI Jakarta 81442",Peralatan Rumah,2,11930180
T00358,U7887,P483,2024-10-12,7,Kredivo,"Jalan Gardujati No. 2, Surabaya, ST 24372",Fashion,4,5062295
T00359,U9835,P236,2024-12-22,6,Transfer Bank,"Jl. Kutisari Selatan No. 766, Surabaya, Sulawesi Tengah 39504",Peralatan Rumah,5,20083284
T00360,U9664,P230,2024-12-05,4,E-Wallet,"Gg. Surapati No. 47, Metro, Papua Barat 42860",Kesehatan,3,15735832
T00361,U9920,P534,2024-06-07,9,Cash on Delivery (COD),"Jalan Dipenogoro No. 5, Singkawang, KR 44149",Peralatan Rumah,2,35226036
T00362,U6671,P258,2024-07-16,5,Kartu Debit,"Gg. Tebet Barat Dalam No. 2, Purwokerto, AC 10618",Kesehatan,1,24542580
T00363,U7868,P729,2024-03-27,1,Kartu Debit,"Gg. Pasir Koja No. 009, Banjarmasin, KT 11926",Peralatan Rumah,1,1621302
T00364,U2653,P708,2024-10-27,1,Kredivo,"Gg. PHH. Mustofa No. 17, Yogyakarta, Sulawesi Selatan 42140",Makanan,1,2102978
T00365,U1724,P511,2024-07-13,8,Kartu Debit,"Gg. Pasirkoja No. 717, Singkawang, RI 71286",Makanan,2,4187888
T00366,U3295,P615,2024-05-10,5,Kartu Debit,"Jalan BKR No. 194, Banda Aceh, Sumatera Barat 00642",Makanan,3,24471045
T00367,U6253,P342,2024-11-13,5,Kartu Kredit,"Gg. Ronggowarsito No. 61, Ambon, PB 19855",Makanan,2,7772930
T00368,U7775,P407,2024-11-06,5,E-Wallet,"Jl. Siliwangi No. 5, Palu, LA 28063",Makanan,5,7595615
T00369,U7999,P669,2024-06-11,8,E-Wallet,"Gang Ciwastra No. 7, Bogor, BT 09376",Elektronik,4,8602800
T00370,U9592,P426,2024-03-11,7,Cash on Delivery (COD),"Jalan BKR No. 05, Padang, JA 87829",Peralatan Rumah,3,22455832
T00371,U4012,P872,2024-05-16,9,Kredivo,"Gg. Suryakencana No. 790, Tanjungpinang, Jawa Barat 20417",Peralatan Rumah,2,23154831
T00372,U3365,P925,2024-10-10,8,E-Wallet,"Jl. Yos Sudarso No. 9, Batam, Kalimantan Selatan 56519",Makanan,4,28351368
T00373,U9683,P237,2024-09-15,7,Kartu Debit,"Jl. Kutai No. 511, Bontang, Sulawesi Barat 58273",Elektronik,2,19743122
T00374,U2295,P560,2025-02-09,6,Transfer Bank,"Gg. Jamika No. 710, Cirebon, DKI Jakarta 67232",Makanan,2,24690564
T00375,U1844,P374,2024-10-21,7,E-Wallet,"Jalan Jend. Sudirman No. 0, Tasikmalaya, SB 45608",Kesehatan,2,12835480
T00376,U4555,P590,2024-05-17,4,QRIS,"Gg. R.E Martadinata No. 3, Yogyakarta, Kalimantan Tengah 03127",Elektronik,1,7307088
T00377,U4113,P859,2024-08-27,2,Kredivo,"Jl. H.J Maemunah No. 43, Kota Administrasi Jakarta Pusat, Nusa Tenggara Barat 01082",Peralatan Rumah,5,3531160
T00378,U7498,P345,2024-04-17,9,QRIS,"Jl. Moch. Toha No. 7, Padangpanjang, Kalimantan Selatan 31531",Elektronik,4,35650728
T00379,U9743,P764,2024-05-18,6,Virtual Account,"Jalan Ciumbuleuit No. 97, Palangkaraya, JT 97265",Elektronik,3,26110896
T00380,U9147,P577,2024-04-08,2,Kredivo,"Gang Kiaracondong No. 20, Kota Administrasi Jakarta Utara, JB 77625",Elektronik,2,6319396
